--------- beginning of system
01-30 13:43:53.871   772   772 W wificond: Scheduled scan is not running!
01-30 14:03:53.751  1089  3916 I chatty  : uid=1000(system) Binder:1089_10 expire 2 lines
01-30 14:03:55.906  1089  1816 I chatty  : uid=1000(system) Binder:1089_7 expire 1 line
01-30 14:03:55.913  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 4 lines
01-30 14:03:55.943  1089  1859 I chatty  : uid=1000(system) Binder:1089_8 expire 3 lines
01-30 14:03:56.122  2670  2691 V PackageManager: [ab8a8bb8-f485-44b9-b164-8eaca19eee50] Phase1 called; posting
01-30 14:03:56.128  2670  2670 D PackageManager: [ab8a8bb8-f485-44b9-b164-8eaca19eee50] Phase1 request; prefix: [-2130968576, -2065768448, -1797320704, -1775710208, -1552310272, -1397948416, -1312186368, -1281163264, -1100050432, -1076563968, -1018359808, -890593280, -692523008, -224428032, -44314624, 436568064, 484589568, 808116224, 1127911424, 1317023744, 1974587392], userId: 0
01-30 14:03:56.235  2670  2691 V PackageManager: [e26ae04a-0607-44f2-aaa5-9bd14ce1c632] Phase1 called; posting
01-30 14:03:56.235  2670  2670 D PackageManager: [e26ae04a-0607-44f2-aaa5-9bd14ce1c632] Phase1 request; prefix: [-2130968576, -2002747392, -1936191488, -1814093824, -1552310272, -1496403968, -965873664, -875405312, -532799488, -381177856, -176160768, 975048704, 1207422976, 1483481088, 1627439104], userId: 0
01-30 14:03:57.070  1089  1148 I chatty  : uid=1000(system) Binder:1089_1 expire 1 line
01-30 14:03:57.075  1089  1241 I chatty  : uid=1000(system) Binder:1089_17 expire 5 lines
01-30 14:03:57.226  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 4 lines
01-30 14:04:05.573   395  3838 W SocketClient: write error (Broken pipe)
01-30 14:04:41.609  1089  3759 I chatty  : uid=1000(system) Binder:1089_3 expire 1 line
01-30 14:05:46.418  1089  1188 I chatty  : uid=1000(system) android.bg expire 1 line
01-30 14:07:27.217  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 15 lines
01-30 14:07:30.751  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 5 lines
01-30 14:07:50.846   772   772 I wificond: Received external scan result notification from kernel.
01-30 14:08:27.553  1089  1241 I chatty  : uid=1000(system) Binder:1089_17 expire 3 lines
01-30 14:08:27.572  1089  1994 I chatty  : uid=1000(system) Binder:1089_1A expire 3 lines
01-30 14:08:27.613  1089  3916 I chatty  : uid=1000(system) Binder:1089_10 expire 3 lines
01-30 14:08:28.592  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 3 lines
01-30 14:08:29.056  1089   561 I chatty  : uid=1000(system) Binder:1089_3 expire 6 lines
01-30 14:08:48.282  1089  1148 I chatty  : uid=1000(system) Binder:1089_1 expire 3 lines
01-30 14:08:56.169  1089  4042 I chatty  : uid=1000(system) Binder:1089_12 expire 3 lines
01-30 14:13:51.010  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 9 lines
01-30 14:13:51.234  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 37 lines
01-30 14:13:51.990  1089  1311 I chatty  : uid=1000(system) Binder:1089_5 expire 2 lines
01-30 14:13:53.379  1089  4020 I chatty  : uid=1000(system) Binder:1089_11 expire 1 line
01-30 14:13:53.814  1089  1178 I chatty  : uid=1000(system) android.ui expire 1 line
01-30 14:13:53.857  1089  1758 I chatty  : uid=1000(system) Binder:1089_3 expire 6 lines
01-30 14:13:53.891  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 26 lines
01-30 14:13:54.277  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 5 lines
01-30 14:13:54.282  1089  2333 I chatty  : uid=1000(system) Binder:1089_1B expire 1 line
01-30 14:13:55.853  1089  4020 I chatty  : uid=1000(system) Binder:1089_11 expire 11 lines
01-30 14:13:58.609  1089  3916 I chatty  : uid=1000(system) Binder:1089_10 expire 5 lines
01-30 14:14:00.146  1089  1241 I chatty  : uid=1000(system) Binder:1089_17 expire 1 line
01-30 14:14:00.175  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 4 lines
01-30 14:14:01.710  1089  1148 I chatty  : uid=1000(system) Binder:1089_1 expire 2 lines
01-30 14:14:02.776  2051  2051 D ActivityThread: Loading provider contacts;com.android.contacts: com.android.providers.contacts.ContactsProvider2
01-30 14:14:04.254  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 22 lines
01-30 14:14:04.432  1089  4042 I chatty  : uid=1000(system) Binder:1089_12 expire 1 line
01-30 14:14:04.433  1089  4020 I chatty  : uid=1000(system) Binder:1089_11 expire 1 line
01-30 14:14:04.436  1089  1641 I chatty  : uid=1000(system) Binder:1089_19 expire 2 lines
01-30 14:14:04.438  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 12 lines
01-30 14:14:05.040  1089  1544 I chatty  : uid=1000(system) Binder:1089_18 expire 2 lines
01-30 14:14:05.063  1089  2798 I chatty  : uid=1000(system) Binder:1089_1F expire 1 line
01-30 14:14:05.524  1089  1875 I chatty  : uid=1000(system) Binder:1089_9 expire 1 line
01-30 14:14:05.654  1089  1310 I chatty  : uid=1000(system) Binder:1089_4 expire 8 lines
01-30 14:14:05.689  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 3 lines
01-30 14:14:06.510  1089  2461 I chatty  : uid=1000(system) Binder:1089_C expire 4 lines
01-30 14:14:06.527  1089   382 I chatty  : uid=1000(system) Binder:1089_15 expire 3 lines
01-30 14:14:06.623  1089  1178 I chatty  : uid=1000(system) android.ui expire 1 line
01-30 14:14:07.326  2670  2925 V PackageManager: [d8ffed40-40c4-482a-aef0-91176f6612f9] Phase1 called; posting
01-30 14:14:07.336  2670  2670 D PackageManager: [d8ffed40-40c4-482a-aef0-91176f6612f9] Phase1 request; prefix: [-2135904256, -2130968576, -2036973568, -1552310272, -1314676736, -1230753792, -1176690688, -939872256, -434827264, -407453696, -360046592, -204460032, -198049792, -78516224, 180793344, 225083392, 234516480, 383041536, 1781325824, 2016772096], userId: 0
01-30 14:14:07.417  2670  2925 V PackageManager: [4d9b82f4-2493-4ba2-9835-5b0bf342371b] Phase1 called; posting
01-30 14:14:07.418  2670  2670 D PackageManager: [4d9b82f4-2493-4ba2-9835-5b0bf342371b] Phase1 request; prefix: [-2130968576, -2034593792, -1967996928, -1810358272, -1552310272, -1495904256, -1398333440, -857120768, 361447424, 637583360, 845045760, 1131102208, 1697783808, 2076098560, 2128220160], userId: 0
01-30 14:14:07.894   395  2173 W SocketClient: write error (Broken pipe)
01-30 14:14:08.259  1089  1241 I chatty  : uid=1000(system) Binder:1089_17 expire 3 lines
01-30 14:14:08.654   395  2202 W SocketClient: write error (Broken pipe)
01-30 14:14:14.628  1089  1311 I chatty  : uid=1000(system) Binder:1089_5 expire 3 lines
01-30 14:14:15.150  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 3 lines
01-30 14:14:15.152  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 19 lines
01-30 14:14:19.568  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 8 lines
01-30 14:14:20.716  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 1 line
01-30 14:14:21.593  1089  4042 I chatty  : uid=1000(system) Binder:1089_12 expire 3 lines
01-30 14:14:21.593  1089  1816 I chatty  : uid=1000(system) Binder:1089_7 expire 1 line
01-30 14:14:21.594  1089  3501 I chatty  : uid=1000(system) Binder:1089_20 expire 1 line
01-30 14:14:21.595  1089  2453 I chatty  : uid=1000(system) Binder:1089_B expire 1 line
01-30 14:14:21.597  1089  1148 I chatty  : uid=1000(system) Binder:1089_1 expire 5 lines
01-30 14:14:56.427  1089  1211 I chatty  : uid=1000(system) CpuTracker expire 2 lines
01-30 14:14:57.054  1089  1205 I chatty  : uid=1000(system) batterystats-wo expire 1 line
01-30 14:15:45.295  1089  1994 I chatty  : uid=1000(system) Binder:1089_1A expire 2 lines
01-30 14:15:55.551  1089  1148 I chatty  : uid=1000(system) Binder:1089_1 expire 2 lines
01-30 14:15:56.452  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 2 lines
01-30 14:15:56.457  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 40 lines
01-30 14:15:56.891  1089  1544 I chatty  : uid=1000(system) Binder:1089_18 expire 3 lines
01-30 14:16:46.408  1089  4042 I chatty  : uid=1000(system) Binder:1089_12 expire 3 lines
01-30 14:16:48.108  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 2 lines
01-30 14:16:48.125  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 27 lines
01-30 14:16:48.191  1089  4042 I chatty  : uid=1000(system) Binder:1089_12 expire 4 lines
01-30 14:16:48.304  1089  1148 I chatty  : uid=1000(system) Binder:1089_1 expire 2 lines
01-30 14:16:48.349  1089   382 I chatty  : uid=1000(system) Binder:1089_15 expire 5 lines
01-30 14:16:48.352  1089  1178 I chatty  : uid=1000(system) android.ui expire 1 line
01-30 14:16:48.368  1089  3897 I chatty  : uid=1000(system) Binder:1089_21 expire 1 line
01-30 14:16:50.651  1089  1544 I chatty  : uid=1000(system) Binder:1089_18 expire 3 lines
01-30 14:16:50.867  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 3 lines
01-30 14:16:55.101  1089  3390 I chatty  : uid=1000(system) Binder:1089_D expire 1 line
01-30 14:16:55.104  1089  1875 I chatty  : uid=1000(system) Binder:1089_9 expire 2 lines
01-30 14:16:55.111  1089  3897 I chatty  : uid=1000(system) Binder:1089_21 expire 1 line
01-30 14:16:55.360  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 23 lines
01-30 14:16:55.554  1089   387 I chatty  : uid=1000(system) Binder:1089_16 expire 2 lines
01-30 14:16:55.578  3603  3603 D ActivityThread: Loading provider contacts;com.android.contacts: com.android.providers.contacts.ContactsProvider2
01-30 14:16:56.942  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 3 lines
01-30 14:16:57.533  1089  1178 I chatty  : uid=1000(system) android.ui expire 1 line
01-30 14:16:57.617  1089  1544 I chatty  : uid=1000(system) Binder:1089_18 expire 2 lines
01-30 14:16:57.646  1089  4042 I chatty  : uid=1000(system) Binder:1089_12 expire 3 lines
01-30 14:16:57.951  1089   382 I chatty  : uid=1000(system) Binder:1089_15 expire 1 line
01-30 14:16:59.169  1089  1311 I chatty  : uid=1000(system) Binder:1089_5 expire 2 lines
01-30 14:16:59.174  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 7 lines
01-30 14:16:59.360  1089  1148 I chatty  : uid=1000(system) Binder:1089_1 expire 2 lines
01-30 14:16:59.474  1089  2453 I chatty  : uid=1000(system) Binder:1089_B expire 1 line
01-30 14:17:00.560  1089  1859 I chatty  : uid=1000(system) Binder:1089_8 expire 1 line
01-30 14:17:00.835  1089  2333 I chatty  : uid=1000(system) Binder:1089_1B expire 5 lines
01-30 14:17:01.067  2670  2925 V PackageManager: [d21d41d2-8617-45ae-9a71-07bcc3e23946] Phase1 called; posting
01-30 14:17:01.071  2670  2670 D PackageManager: [d21d41d2-8617-45ae-9a71-07bcc3e23946] Phase1 request; prefix: [-2130968576, -2082967552, -1727905792, -1552310272, -468209664, 19480576, 84865024, 328265728, 474677248, 477339648, 574873600, 687190016, 1090732032, 1505746944, 1506979840, 1532788736, 1546113024, 1555025920, 1567092736, 1581387776, 2061496320], userId: 0
01-30 14:17:01.165  2670  2925 V PackageManager: [c3b74ed9-316b-4c1a-8af6-771c7299375e] Phase1 called; posting
01-30 14:17:01.166  2670  2670 D PackageManager: [c3b74ed9-316b-4c1a-8af6-771c7299375e] Phase1 request; prefix: [-2130968576, -2064736256, -1832075264, -1552310272, -994414592, -171757568, -131579904, 43163648, 195043328, 291815424, 388947968, 754888704, 1263951872, 1295687680, 1396879360, 1646899200, 2024230912], userId: 0
01-30 14:17:01.262  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 27 lines
01-30 14:17:01.400  1089  1544 I chatty  : uid=1000(system) Binder:1089_18 expire 1 line
01-30 14:17:01.401  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 4 lines
01-30 14:17:03.152  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 2 lines
01-30 14:17:03.327  1089  1859 I chatty  : uid=1000(system) Binder:1089_8 expire 1 line
01-30 14:17:03.328  1089   382 I chatty  : uid=1000(system) Binder:1089_15 expire 2 lines
01-30 14:17:03.328  1089  4042 I chatty  : uid=1000(system) Binder:1089_12 expire 3 lines
01-30 14:17:03.329  1089  2453 I chatty  : uid=1000(system) Binder:1089_B expire 2 lines
01-30 14:17:04.664  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 3 lines
01-30 14:17:04.672  1089  2333 I chatty  : uid=1000(system) Binder:1089_1B expire 3 lines
01-30 14:17:05.205  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 25 lines
01-30 14:17:05.413  1089  4042 I chatty  : uid=1000(system) Binder:1089_12 expire 3 lines
01-30 14:17:05.675  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 1 line
01-30 14:17:06.325   417   417 D ActivityThread: Loading provider contacts;com.android.contacts: com.android.providers.contacts.ContactsProvider2
01-30 14:17:08.038  1089  1816 I chatty  : uid=1000(system) Binder:1089_7 expire 1 line
01-30 14:17:08.249  1089   387 I chatty  : uid=1000(system) Binder:1089_16 expire 2 lines
01-30 14:17:10.733  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 1 line
01-30 14:17:11.753  1089  1241 I chatty  : uid=1000(system) Binder:1089_17 expire 6 lines
01-30 14:17:11.921  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 23 lines
01-30 14:17:12.435  1089  2453 I chatty  : uid=1000(system) Binder:1089_B expire 3 lines
01-30 14:17:12.766  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 3 lines
01-30 14:17:12.974   873   873 D ActivityThread: Loading provider contacts;com.android.contacts: com.android.providers.contacts.ContactsProvider2
01-30 14:17:13.742  1089  2333 I chatty  : uid=1000(system) Binder:1089_1B expire 1 line
01-30 14:17:14.083  1089  3547 I chatty  : uid=1000(system) Binder:1089_E expire 1 line
01-30 14:17:14.292  1089  4020 I chatty  : uid=1000(system) Binder:1089_11 expire 1 line
01-30 14:17:14.320  1089  2340 I chatty  : uid=1000(system) Binder:1089_1D expire 4 lines
01-30 14:17:17.738  1089  3897 I chatty  : uid=1000(system) Binder:1089_21 expire 1 line
01-30 14:17:23.303  1089  1544 I chatty  : uid=1000(system) Binder:1089_18 expire 1 line
01-30 14:17:28.810  1089  1994 I chatty  : uid=1000(system) Binder:1089_1A expire 4 lines
01-30 14:17:28.811  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 4 lines
01-30 14:17:28.812  1089  1544 I chatty  : uid=1000(system) Binder:1089_18 expire 7 lines
01-30 14:17:32.057  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 4 lines
01-30 14:17:32.090  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 14 lines
01-30 14:21:44.830  1089  2461 I chatty  : uid=1000(system) Binder:1089_C expire 2 lines
01-30 14:21:44.871  1089  2798 I chatty  : uid=1000(system) Binder:1089_1F expire 1 line
01-30 14:21:44.900  1089  2055 I chatty  : uid=1000(system) Binder:1089_3 expire 8 lines
01-30 14:21:55.862  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 15 lines
01-30 14:21:57.460  1089  2461 I chatty  : uid=1000(system) Binder:1089_C expire 1 line
01-30 14:21:57.661  1089  1544 I chatty  : uid=1000(system) Binder:1089_18 expire 1 line
01-30 14:21:57.662  1089  4020 I chatty  : uid=1000(system) Binder:1089_11 expire 3 lines
01-30 14:21:57.662  1089  2719 I chatty  : uid=1000(system) Binder:1089_1E expire 3 lines
01-30 14:21:57.663  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 7 lines
01-30 14:21:58.673  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 3 lines
01-30 14:22:07.384  1089  1816 I chatty  : uid=1000(system) Binder:1089_7 expire 3 lines
01-30 14:22:07.384  1089  4042 I chatty  : uid=1000(system) Binder:1089_12 expire 1 line
01-30 14:22:07.440  1089  3547 I chatty  : uid=1000(system) Binder:1089_E expire 6 lines
01-30 14:22:08.688  1089  2339 I chatty  : uid=1000(system) Binder:1089_1C expire 3 lines
01-30 14:22:52.120  1089  2798 I chatty  : uid=1000(system) Binder:1089_1F expire 2 lines
01-30 14:23:41.691  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 1 line
01-30 14:23:42.296  1089  1178 I chatty  : uid=1000(system) android.ui expire 3 lines
01-30 14:23:42.613  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 2 lines
01-30 14:23:43.867  1089  3547 I chatty  : uid=1000(system) Binder:1089_E expire 2 lines
01-30 14:23:43.867  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 17 lines
01-30 14:23:46.412  1089  1816 I chatty  : uid=1000(system) Binder:1089_7 expire 3 lines
01-30 14:23:47.183  1089  2798 I chatty  : uid=1000(system) Binder:1089_1F expire 8 lines
01-30 14:23:48.711  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 7 lines
01-30 14:23:49.632  1089  4042 I chatty  : uid=1000(system) Binder:1089_12 expire 3 lines
01-30 14:24:17.714  1089  4020 I chatty  : uid=1000(system) Binder:1089_11 expire 2 lines
01-30 14:24:17.717  1089  2340 I chatty  : uid=1000(system) Binder:1089_1D expire 1 line
01-30 14:24:17.718  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 11 lines
01-30 14:24:17.723  1089  4020 I chatty  : uid=1000(system) Binder:1089_11 expire 3 lines
01-30 14:24:17.855  1089  1816 I chatty  : uid=1000(system) Binder:1089_7 expire 4 lines
01-30 14:24:18.736  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 5 lines
01-30 14:24:18.737  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 12 lines
01-30 14:24:46.073  1089  3759 I chatty  : uid=1000(system) Binder:1089_3 expire 1 line
01-30 14:24:47.660  1089  2798 I chatty  : uid=1000(system) Binder:1089_1F expire 6 lines
01-30 14:25:46.562  1089  1188 I chatty  : uid=1000(system) android.bg expire 1 line
01-30 14:28:12.753  1089  1177 I chatty  : uid=1000(system) android.fg expire 3 lines
01-30 14:28:13.955  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 1 line
01-30 14:28:14.801  1089  2798 I chatty  : uid=1000(system) Binder:1089_1F expire 3 lines
01-30 14:28:14.802  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 9 lines
01-30 14:28:14.942   772   772 I wificond: Pno scan started for frequencies: 2412, 2417, 2427, 2432, 2437, 2447, 2462, 2467, 
01-30 14:28:14.946   772   772 W wificond: Scan aborted
01-30 14:28:15.341  1089  1310 I chatty  : uid=1000(system) Binder:1089_4 expire 1 line
01-30 14:28:17.755  1089  3576 I chatty  : uid=1000(system) Binder:1089_3 expire 8 lines
01-30 14:28:18.697  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 4 lines
01-30 14:28:22.291  1089  1215 I chatty  : uid=1000(system) PowerManagerSer expire 6 lines
01-30 14:28:22.432  1089  1180 I chatty  : uid=1000(system) android.display expire 2 lines
01-30 14:28:22.436  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 6 lines
01-30 14:28:22.771  1089  1178 I chatty  : uid=1000(system) android.ui expire 2 lines
01-30 14:28:22.851  1089  4077 I chatty  : uid=1000(system) Binder:1089_13 expire 1 line
01-30 14:28:23.291  1089  1205 I chatty  : uid=1000(system) batterystats-wo expire 3 lines
01-30 14:28:23.325   772   772 I wificond: Pno scan stopped
01-30 14:28:23.702  1089  3897 I chatty  : uid=1000(system) Binder:1089_21 expire 1 line
01-30 14:28:23.706  1089  1177 I chatty  : uid=1000(system) android.fg expire 3 lines
01-30 14:28:23.779  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 6 lines
01-30 14:28:24.202  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 8 lines
01-30 14:28:24.674  1089  1310 I chatty  : uid=1000(system) Binder:1089_4 expire 1 line
01-30 14:28:24.732  1089  3501 I chatty  : uid=1000(system) Binder:1089_20 expire 1 line
01-30 14:28:24.944   772   772 W wificond: Scan is not started. Ignore abort request
01-30 14:28:25.279  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 7 lines
01-30 14:28:27.107  1089  2339 I chatty  : uid=1000(system) Binder:1089_1C expire 1 line
01-30 14:28:27.555  1089  1384 I chatty  : uid=1000(system) WifiHandlerThre expire 1 line
01-30 14:28:27.684  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 34 lines
01-30 14:28:28.827   395   445 E NetlinkEvent: NetlinkEvent::FindParam(): Parameter 'INTERFACE' not found
01-30 14:28:28.828   395   445 E NetlinkEvent: NetlinkEvent::FindParam(): Parameter 'STATE' not found
01-30 14:28:28.828   395   445 E NetlinkEvent: NetlinkEvent::FindParam(): Parameter 'TIME_NS' not found
01-30 14:28:28.828   395   445 E NetlinkEvent: NetlinkEvent::FindParam(): Parameter 'UID' not found
01-30 14:28:30.708  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 1 line
01-30 14:28:30.778  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 23 lines
01-30 14:28:30.868  1089  1177 I chatty  : uid=1000(system) android.fg expire 1 line
01-30 14:28:32.661  1089  3547 I chatty  : uid=1000(system) Binder:1089_E expire 6 lines
01-30 14:28:34.433  1089  4020 I chatty  : uid=1000(system) Binder:1089_11 expire 7 lines
01-30 14:28:34.566  1089  3501 I chatty  : uid=1000(system) Binder:1089_20 expire 1 line
01-30 14:28:34.637  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 19 lines
01-30 14:28:34.875  1089  2339 I chatty  : uid=1000(system) Binder:1089_1C expire 4 lines
01-30 14:28:35.711  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 2 lines
01-30 14:28:36.051  1089  1875 I chatty  : uid=1000(system) Binder:1089_9 expire 1 line
01-30 14:28:36.444  1089  1178 I chatty  : uid=1000(system) android.ui expire 3 lines
01-30 14:28:36.547  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 14 lines
01-30 14:28:36.604  1089  3547 I chatty  : uid=1000(system) Binder:1089_E expire 2 lines
01-30 14:28:36.675  1089  4020 I chatty  : uid=1000(system) Binder:1089_11 expire 1 line
01-30 14:28:40.885   772   772 I wificond: Fail RSSI polling because wifi is not associated.
01-30 14:28:41.015  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 6 lines
01-30 14:28:45.028  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 13 lines
01-30 14:28:45.179  1089  4020 I chatty  : uid=1000(system) Binder:1089_11 expire 1 line
01-30 14:28:45.187  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 20 lines
01-30 14:28:49.503  1089  3547 I chatty  : uid=1000(system) Binder:1089_E expire 3 lines
01-30 14:29:15.704  1089  1310 I chatty  : uid=1000(system) Binder:1089_4 expire 3 lines
01-30 14:29:15.858  1089  1178 I chatty  : uid=1000(system) android.ui expire 3 lines
01-30 14:33:35.460  1089  1205 I chatty  : uid=1000(system) batterystats-wo expire 2 lines
01-30 14:38:35.414  1089  1215 I chatty  : uid=1000(system) PowerManagerSer expire 12 lines
01-30 14:38:43.044  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 5 lines
01-30 14:38:43.090  1089  1310 I chatty  : uid=1000(system) Binder:1089_4 expire 5 lines
01-30 14:38:43.100  1089  1180 I chatty  : uid=1000(system) android.display expire 7 lines
01-30 14:38:43.465  1089  3547 I chatty  : uid=1000(system) Binder:1089_E expire 4 lines
01-30 14:38:43.512  1089  1177 I chatty  : uid=1000(system) android.fg expire 1 line
01-30 14:38:45.354  1089  1094 I chatty  : uid=1000(system) Binder:1089_3 expire 6 lines
01-30 14:38:45.633  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 11 lines
01-30 14:38:47.763  1482  1482 V KeyguardStatusView: refresh statusview showing:true
01-30 14:39:30.028  1089  1205 I chatty  : uid=1000(system) batterystats-wo expire 4 lines
01-30 14:48:41.476  1089  4086 I chatty  : uid=1000(system) Binder:1089_14 expire 1 line
01-30 14:50:43.115  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 18 lines
01-30 14:50:43.637  1089  1205 I chatty  : uid=1000(system) batterystats-wo expire 8 lines
01-30 15:04:45.582  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 6 lines
01-30 15:08:29.173  1089  1360 I chatty  : uid=1000(system) InputReader expire 1 line
01-30 15:08:29.370  1089  1215 I chatty  : uid=1000(system) PowerManagerSer expire 5 lines
01-30 15:08:29.567  1089  1178 I chatty  : uid=1000(system) android.ui expire 3 lines
01-30 15:08:29.602  1089  1180 I chatty  : uid=1000(system) android.display expire 1 line
01-30 15:08:30.214  1089  1177 I chatty  : uid=1000(system) android.fg expire 3 lines
01-30 15:08:30.284  1089  1816 I chatty  : uid=1000(system) Binder:1089_7 expire 1 line
01-30 15:08:32.352  1089  3916 I chatty  : uid=1000(system) Binder:1089_10 expire 8 lines
01-30 15:08:32.466  1089  4086 I chatty  : uid=1000(system) Binder:1089_14 expire 2 lines
01-30 15:08:32.474  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 31 lines
01-30 15:08:33.180  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 7 lines
01-30 15:08:33.265  1089  1178 I chatty  : uid=1000(system) android.ui expire 1 line
01-30 15:08:33.374  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 4 lines
01-30 15:08:35.868  1089  3501 I chatty  : uid=1000(system) Binder:1089_20 expire 3 lines
01-30 15:08:37.665  1089  1859 I chatty  : uid=1000(system) Binder:1089_8 expire 2 lines
01-30 15:08:40.590  1089  3547 I chatty  : uid=1000(system) Binder:1089_E expire 4 lines
01-30 15:08:43.004  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 19 lines
01-30 15:08:47.281  1089  3916 I chatty  : uid=1000(system) Binder:1089_10 expire 4 lines
01-30 15:08:52.791  1089  1347 I chatty  : uid=1000(system) AlarmManager expire 6 lines
01-30 15:08:53.805  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 6 lines
01-30 15:08:55.812  1089  1816 I chatty  : uid=1000(system) Binder:1089_7 expire 2 lines
01-30 15:09:02.254  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 4 lines
01-30 15:09:02.742  1089  1178 I chatty  : uid=1000(system) android.ui expire 3 lines
01-30 15:09:35.890  1089  1179 I chatty  : uid=1000(system) android.io expire 1 line
01-30 15:09:35.958  1089  1310 I chatty  : uid=1000(system) Binder:1089_4 expire 2 lines
01-30 15:09:36.326  1089  1205 I chatty  : uid=1000(system) batterystats-wo expire 1 line
01-30 15:09:36.353  1089  1177 I chatty  : uid=1000(system) android.fg expire 4 lines
01-30 15:09:36.560  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 7 lines
01-30 15:09:36.560  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 9 lines
01-30 15:09:36.562  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 36 lines
01-30 15:09:39.119  1089  1347 I chatty  : uid=1000(system) AlarmManager expire 1 line
01-30 15:09:39.278  1089  3916 I chatty  : uid=1000(system) Binder:1089_10 expire 1 line
01-30 15:09:39.904  1089  4086 I chatty  : uid=1000(system) Binder:1089_14 expire 4 lines
01-30 15:09:42.381  1089  3501 I chatty  : uid=1000(system) Binder:1089_20 expire 1 line
01-30 15:09:42.871  1089  4020 I chatty  : uid=1000(system) Binder:1089_11 expire 4 lines
